@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
1.287,1.300,6.397,p
1.461,0.620,0.014,p
4.773,4.613,1.994,n
1.040,7.149,1.985,n
1.893,1.510,9.435,p
1.111,4.928,0.973,p
3.807,0.068,5.178,p
2.759,7.397,4.043,n
4.704,8.817,8.668,n
1.115,4.535,9.481,p
4.294,1.549,3.030,p
7.003,4.452,4.312,n
8.309,9.504,4.894,n
9.687,1.219,3.637,p
3.267,3.965,1.837,p
4.259,3.816,8.034,p
3.293,2.831,6.731,p
8.118,6.575,5.404,n
8.003,2.001,9.260,n
6.044,8.959,1.901,n
1.289,5.892,6.852,p
5.684,2.965,1.397,p
0.969,0.397,0.710,p
3.329,2.030,2.022,p
3.990,3.315,9.222,p
0.352,4.756,3.874,p
5.060,0.288,9.165,n
5.714,1.065,8.541,p
8.851,5.488,2.669,n
1.919,6.135,4.541,p
2.071,9.666,7.881,n
9.734,0.376,7.458,n
3.412,5.286,6.550,p
8.155,5.771,8.982,n
5.398,0.821,8.621,p
9.822,7.449,0.499,n
6.391,6.163,7.279,n
9.440,8.624,4.191,n
2.199,1.140,0.318,p
0.449,4.164,7.116,n
2.463,5.065,1.585,p
9.448,6.393,6.093,n
9.113,2.790,3.362,n
3.649,5.135,6.890,p
5.591,1.691,7.300,p
9.045,4.402,4.549,p
2.272,2.119,5.793,p
0.222,8.612,1.148,p
3.640,1.941,2.756,p
6.587,4.985,1.670,n
9.601,1.525,1.567,n
0.372,6.319,2.557,p
8.580,6.620,3.074,n
6.251,3.391,8.342,n
8.932,8.833,6.583,n
0.815,7.135,4.981,p
0.183,7.330,0.343,p
7.484,8.159,2.981,n
0.301,2.636,2.871,p
3.405,4.556,9.903,n
1.665,2.442,8.432,p
9.714,2.966,5.673,n
7.183,0.272,7.667,p
1.811,2.062,0.349,p
1.042,1.996,1.378,p
0.379,1.529,2.192,p
2.383,5.738,1.945,n
8.254,7.313,9.384,n
4.637,3.559,4.464,n
5.583,8.947,4.816,n
9.737,5.270,1.811,p
0.427,1.830,2.856,p
4.351,3.144,6.344,p
3.455,6.757,5.443,n
9.362,2.580,3.351,n
4.712,1.194,8.831,p
5.957,9.878,1.433,p
0.805,9.417,7.850,n
4.725,2.825,6.910,p
0.027,5.294,8.536,p
0.925,6.405,6.677,p
6.303,5.106,5.493,n
0.645,4.362,1.355,p
5.872,1.182,6.412,p
0.704,9.552,1.571,n
3.040,3.163,3.002,p
3.161,2.091,4.840,n
3.685,6.636,3.152,n
2.418,4.415,7.322,p
2.906,0.890,7.907,p
0.554,0.047,9.935,p
3.876,2.107,0.273,p
7.580,8.835,3.177,n
6.695,8.891,3.959,n
1.029,9.208,8.811,n
8.308,7.108,4.351,n
8.785,5.758,6.217,n
6.295,6.728,2.381,n
1.845,4.787,8.770,p
2.805,1.411,3.599,p
2.651,7.169,5.642,n
9.758,7.732,7.916,n
9.288,7.416,3.478,n
7.557,7.867,8.999,n
0.634,4.410,7.215,p
6.140,1.741,0.054,p
2.512,0.961,8.621,p
2.069,2.481,4.895,n
8.721,8.453,7.255,n
8.240,7.038,4.280,n
0.074,3.983,5.636,p
8.812,2.864,9.267,n
1.575,7.787,9.354,n
6.919,3.904,5.438,n
6.131,1.891,8.846,n
0.713,3.062,0.806,p
7.688,1.876,8.115,n
3.338,0.319,2.109,p
1.717,3.652,5.137,p
8.204,4.493,3.279,n
2.601,1.120,6.574,p
7.485,9.022,9.193,n
1.584,5.082,1.759,p
6.699,3.013,2.720,n
4.362,6.957,0.364,n
0.550,8.899,1.912,p
7.710,1.267,0.515,n
1.289,4.715,9.885,p
0.288,1.365,4.076,p
8.041,7.897,5.557,n
1.710,0.221,3.412,p
2.769,8.980,1.239,n
1.012,4.949,1.581,p
3.465,3.633,3.581,p
1.322,5.459,2.997,p
6.325,8.180,6.495,n
6.333,1.298,0.301,p
1.549,6.629,9.001,n
6.929,9.228,8.238,n
0.398,5.105,2.991,p
0.921,1.366,1.377,p
9.902,0.714,5.758,n
1.706,6.829,3.393,n
9.820,5.953,9.595,n
6.660,7.914,8.382,n
2.162,4.200,3.688,p
1.447,5.702,2.296,p
5.630,8.102,8.687,n
1.926,1.892,4.861,n
1.516,6.346,5.304,p
5.271,6.224,3.479,n
0.625,4.262,1.640,n
1.680,4.726,7.779,p
7.951,8.439,9.675,n
3.162,0.669,2.567,p
7.465,6.390,5.997,p
0.307,2.813,6.349,p
9.768,2.234,9.598,n
5.462,2.091,2.319,p
0.762,3.487,8.275,p
1.874,8.207,0.104,n
1.170,0.940,7.868,p
2.201,1.785,9.984,n
0.561,0.657,7.129,p
6.648,4.747,6.402,p
1.297,6.657,6.800,p
2.750,0.995,3.693,p
1.007,4.480,3.499,p
9.684,6.878,3.660,n
1.752,3.196,9.855,p
1.282,5.214,8.562,p
5.018,6.948,2.438,n
2.272,8.763,6.869,n
3.435,5.831,3.793,n
9.561,4.877,4.557,n
4.961,3.674,0.223,n
5.095,8.477,3.437,n
2.909,3.519,1.819,p
3.231,3.198,7.873,p
1.887,1.931,5.770,p
4.793,7.598,0.151,n
2.806,4.979,0.264,p
2.746,3.667,0.658,p
3.162,1.781,8.400,p
2.835,1.751,8.976,p
8.506,8.952,3.913,n
9.344,7.683,8.451,n
5.629,9.176,2.598,n
0.935,6.048,2.601,p
1.766,2.409,5.715,n
