@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
1.942,1.142,3.596,p
2.027,0.778,0.663,p
2.352,8.167,9.055,n
1.044,4.937,5.138,p
1.749,0.046,0.902,p
1.136,4.478,6.985,p
3.714,8.148,5.160,n
0.461,9.542,6.826,n
9.937,2.350,2.298,n
9.745,2.258,7.008,n
7.888,2.315,9.325,n
2.664,3.291,2.651,p
4.592,9.193,9.083,n
7.604,7.394,5.254,n
5.070,2.540,2.330,p
5.779,8.248,0.998,n
7.869,4.585,7.457,n
3.004,7.354,8.398,n
6.974,9.449,3.498,n
5.896,7.979,8.966,n
6.793,1.242,4.717,p
0.298,6.853,7.337,p
0.669,0.779,1.391,p
0.949,4.643,5.621,p
4.201,6.843,2.907,p
5.523,0.649,8.213,p
1.608,8.663,7.047,n
1.353,5.038,4.584,p
0.199,1.645,1.802,p
8.102,8.337,9.274,p
2.733,5.634,1.005,p
9.460,5.063,1.918,p
2.071,0.746,9.355,p
5.304,7.501,7.826,n
5.411,8.169,7.088,n
9.988,4.209,5.947,n
0.109,6.475,0.425,p
8.973,5.347,5.085,n
4.899,5.351,9.400,n
1.190,5.346,8.028,p
6.263,9.215,4.247,n
0.232,4.784,2.056,p
1.070,5.122,0.387,p
1.908,6.048,5.870,p
3.230,5.864,7.017,n
6.421,5.484,5.718,n
3.994,0.002,9.242,p
6.342,1.156,5.848,p
1.277,7.259,1.906,p
6.152,7.750,5.761,p
5.574,9.669,3.665,n
0.929,6.333,3.911,p
5.305,8.509,7.979,n
3.081,2.329,4.575,p
2.775,9.578,1.120,n
3.792,3.646,3.184,p
4.574,1.665,4.420,p
8.946,9.217,4.420,n
3.508,3.592,9.176,n
8.832,7.616,4.364,n
6.378,1.506,3.164,p
2.510,4.204,2.502,p
4.298,7.788,1.328,n
5.230,8.454,3.380,n
5.248,0.462,1.083,p
9.953,1.282,9.374,n
9.151,0.773,3.058,n
0.088,1.060,3.506,p
1.469,6.698,0.919,p
6.494,0.498,8.987,p
4.815,5.588,1.386,n
5.229,6.818,8.755,n
1.400,4.921,1.318,p
1.082,2.118,0.532,p
3.791,6.227,8.586,n
2.103,3.773,2.974,p
4.309,4.277,3.982,n
0.306,5.517,2.020,p
7.422,7.026,4.752,n
0.478,7.722,8.231,p
5.981,0.382,1.959,p
6.358,5.443,1.865,n
2.144,3.332,5.380,p
4.732,2.546,1.908,p
8.602,2.223,6.157,n
3.131,3.189,2.559,p
1.319,1.505,6.069,p
6.451,4.955,8.008,p
9.159,1.513,2.993,n
9.260,2.029,7.036,n
2.131,0.619,6.656,p
1.384,6.215,3.912,p
2.151,2.241,5.326,p
8.174,0.905,9.456,n
7.825,5.809,7.048,n
1.293,1.418,3.217,p
5.377,6.157,6.464,n
6.605,4.732,9.444,n
1.070,7.842,3.634,n
9.475,6.359,8.049,n
0.767,5.403,6.096,p
0.450,5.931,9.665,p
8.271,6.732,2.948,p
4.028,9.092,1.109,n
5.969,0.676,2.334,p
0.063,4.053,5.002,p
4.031,9.148,1.266,n
4.269,4.598,3.728,n
1.624,5.945,1.278,p
6.378,5.698,2.504,n
4.547,1.143,9.423,p
4.447,0.944,0.184,p
0.304,4.935,7.142,p
3.298,4.784,8.976,n
6.123,1.659,3.032,p
2.794,5.037,5.732,p
1.616,4.057,4.729,p
9.250,8.440,6.152,n
7.910,1.336,2.100,n
0.014,0.839,7.788,p
1.849,3.954,8.368,p
4.838,0.747,8.078,p
1.257,5.869,4.639,p
6.351,8.044,6.450,n
1.190,1.036,7.750,p
5.046,9.214,9.749,n
6.141,3.513,9.571,n
1.960,5.531,0.203,p
6.388,7.194,8.611,n
1.369,7.380,9.812,n
9.618,1.149,8.209,n
5.358,0.893,9.299,p
0.902,1.868,4.371,p
0.430,6.846,3.780,p
2.378,4.553,4.061,n
1.067,2.321,3.444,p
5.633,7.468,2.591,n
9.323,8.308,1.715,p
1.510,1.043,3.005,p
8.423,7.665,9.854,p
1.732,8.055,2.946,n
4.600,0.898,8.381,p
1.626,0.703,8.141,p
2.201,7.870,0.426,n
2.782,2.618,0.255,n
4.675,1.843,0.477,p
3.674,9.741,4.444,n
2.261,3.830,6.815,p
1.347,6.943,2.966,n
1.737,7.893,4.192,n
0.073,2.054,7.207,p
0.286,2.553,0.181,p
4.116,2.364,8.862,p
2.766,2.396,2.427,p
1.055,4.919,1.868,p
5.653,6.533,2.920,n
3.105,0.895,4.748,p
6.575,6.082,3.545,n
6.238,9.967,4.256,n
0.992,5.358,6.464,p
3.750,6.520,4.330,n
2.008,3.379,3.085,p
0.325,1.122,1.118,p
5.633,5.936,6.267,n
7.523,7.438,1.729,n
9.189,8.283,0.808,n
5.194,5.371,2.678,n
8.067,7.697,3.020,n
0.864,6.806,0.305,p
1.043,6.528,9.838,p
6.444,5.863,8.413,p
8.178,3.316,0.719,n
1.940,4.226,8.442,p
8.519,9.929,2.731,n
6.408,0.597,2.070,p
8.248,9.129,2.542,n
1.824,4.980,3.485,p
2.876,0.041,2.086,p
1.737,6.165,1.451,p
5.453,1.244,1.869,p
7.831,6.112,6.083,n
3.968,9.762,5.952,n
2.123,5.954,1.911,n
0.614,7.727,4.859,n
5.301,2.460,2.624,p
8.108,3.422,7.210,n
0.174,1.622,6.453,p
2.161,9.482,0.922,n
1.065,3.937,7.660,p
6.822,0.808,4.132,p
8.454,2.674,9.162,p
