@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {n,p}

@data
0.07919,0.44179,n
0.15506,0.21132,p
0.20964,0.60568,p
0.80206,0.49470,p
0.17318,0.48534,n
0.29399,0.76564,p
0.89664,0.67688,p
0.52373,0.31144,p
0.76689,0.02014,p
0.19485,0.41591,n
0.82829,0.84107,p
0.17074,0.91888,p
0.30674,0.01499,p
0.18715,0.60742,n
0.16560,0.44918,n
0.76728,0.64422,p
0.14530,0.49772,n
0.95668,0.62554,p
0.20631,0.61635,n
0.37832,0.75172,p
0.60727,0.88404,p
0.15016,0.58528,n
0.82306,0.10632,p
0.42349,0.74877,n
0.82837,0.39969,p
0.44312,0.40308,p
0.05506,0.52639,n
0.13891,0.07101,p
0.20197,0.63706,p
0.23892,0.57461,n
0.02391,0.50659,p
0.27056,0.42318,n
0.03039,0.21727,p
0.49344,0.36472,p
0.44775,0.64278,n
0.40713,0.06082,p
0.36526,0.51840,n
0.15010,0.45959,n
0.20961,0.49573,n
0.23567,0.40989,n
0.85126,0.26666,p
0.37550,0.97129,n
0.16895,0.97609,p
0.90922,0.93419,p
0.24210,0.45206,p
0.15914,0.39319,n
0.29417,0.46306,n
0.56301,0.56004,p
0.99432,0.72503,p
0.52948,0.22942,p
0.35359,0.50604,n
0.44441,0.25115,p
0.25663,0.63223,n
0.27092,0.56666,n
0.68518,0.93697,p
0.10454,0.31189,p
0.20461,0.13012,p
0.24502,0.64199,n
0.11427,0.47991,n
0.68212,0.01510,p
0.13585,0.56634,n
0.62819,0.93713,p
0.50795,0.47554,p
0.46557,0.71980,n
0.09952,0.47980,n
0.66759,0.20865,p
0.01091,0.04152,p
0.06574,0.53792,n
0.00352,0.67597,p
0.17186,0.51195,n
0.77625,0.56928,p
0.25663,0.81792,p
0.28434,0.37026,n
0.08608,0.44781,n
0.32653,0.57723,n
0.95317,0.71794,p
0.29448,0.76843,p
0.21267,0.15548,p
0.68427,0.58863,p
0.71561,0.22871,p
0.09127,0.40949,n
0.36826,0.90746,p
0.76491,0.56365,p
0.77377,0.83609,p
0.11899,0.63825,p
0.67714,0.72087,p
0.17126,0.61409,n
0.45192,0.31490,n
0.78030,0.26360,p
0.11827,0.53330,n
0.16055,0.43468,n
0.26234,0.70804,p
0.74510,0.58291,p
0.27825,0.55097,n
0.08748,0.27977,p
0.30272,0.53347,n
0.29685,0.46814,n
0.18562,0.36409,n
0.92207,0.56147,p
0.42946,0.32627,n
0.51630,0.17614,n
0.53861,0.83120,p
0.08896,0.44373,n
0.63433,0.91165,p
0.37767,0.09334,p
0.13098,0.53049,n
0.79684,0.37876,p
0.35100,0.14252,p
0.08077,0.82330,n
0.25155,0.44672,n
0.67790,0.33201,p
0.15189,0.52023,n
0.22210,0.64755,n
0.22397,0.56480,n
0.05240,0.74323,p
0.12895,0.78886,p
0.91968,0.66597,p
0.49996,0.33002,p
0.61142,0.68589,p
0.10319,0.40719,p
0.19042,0.54452,n
0.08361,0.45117,p
0.15368,0.37875,n
