@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.26585,0.58304,n
0.09753,0.34917,p
0.16643,0.51262,n
0.15081,0.35899,n
0.29068,0.48705,n
0.31382,0.44916,p
0.65235,0.18262,p
0.87880,0.50483,p
0.09125,0.51577,n
0.73638,0.39321,p
0.00753,0.83532,p
0.60608,0.26176,p
0.27428,0.34404,p
0.46175,0.61229,n
0.12480,0.65025,p
0.31248,0.55984,n
0.24533,0.61860,n
0.10244,0.40149,n
0.27708,0.43992,n
0.03403,0.12162,p
0.96676,0.90008,p
0.66360,0.55112,p
0.22748,0.43808,n
0.24035,0.67027,p
0.51260,0.00172,p
0.40286,0.96959,p
0.00657,0.35948,n
0.62778,0.75365,p
0.69448,0.77344,p
0.65367,0.43692,p
0.13357,0.75681,p
0.20006,0.54221,n
0.33332,0.94692,p
0.28773,0.12945,p
0.17704,0.56389,n
0.38792,0.21038,p
0.08475,0.89058,p
0.17762,0.45435,n
0.27364,0.40259,n
0.14014,0.54576,n
0.59610,0.82266,p
0.18047,0.62127,n
0.28017,0.56615,n
0.69111,0.86108,n
0.21190,0.39573,p
0.24397,0.64112,n
0.08863,0.56314,n
0.31155,0.46019,n
0.91995,0.00280,p
0.20201,0.61597,n
0.05870,0.69186,p
0.25816,0.27503,p
0.67260,0.68320,n
0.20401,0.62051,p
0.14692,0.89784,p
0.44145,0.26132,p
0.61198,0.70437,p
0.30138,0.22532,p
0.72804,0.29547,p
0.29330,0.45750,p
0.27920,0.92741,p
0.14931,0.53363,n
0.26156,0.47479,n
0.39108,0.86001,p
0.30531,0.54719,n
0.21880,0.42205,n
0.12415,0.58814,n
0.20741,0.49944,p
0.17329,0.63019,n
0.28149,0.41555,n
0.34498,0.10612,n
0.49822,0.46505,n
0.31818,0.55009,n
0.22961,0.53563,n
0.58054,0.09420,p
0.04059,0.52870,p
0.70909,0.28231,p
0.21106,0.50093,p
0.57620,0.54186,p
0.63394,0.11700,p
0.27278,0.61391,n
0.06835,0.55198,n
0.79026,0.35351,n
0.24409,0.54757,n
0.87651,0.04397,p
0.39115,0.50863,n
0.23035,0.49946,n
