@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.236,0.103,p
0.155,0.067,p
0.918,0.800,n
0.173,0.106,p
0.214,0.927,n
0.880,0.087,p
0.606,0.672,n
0.548,0.300,p
0.414,0.599,n
0.431,0.161,n
0.813,0.043,p
0.356,0.747,n
0.321,0.559,n
0.101,0.062,p
0.765,0.615,n
0.331,0.178,p
0.043,0.697,n
0.018,0.289,n
0.966,0.775,p
0.382,0.962,n
0.331,0.009,p
0.290,0.097,p
0.982,0.424,p
0.059,0.055,p
0.677,0.150,p
0.122,0.529,n
0.889,0.831,n
0.499,0.032,n
0.242,0.208,p
0.870,0.142,p
0.403,0.901,n
0.654,0.791,n
0.494,0.093,p
0.874,0.900,p
0.337,0.657,n
0.642,0.815,n
0.962,0.668,p
0.969,0.667,p
0.060,0.167,n
0.569,0.746,n
0.013,0.876,n
0.116,0.810,n
0.202,0.671,p
0.331,0.892,p
0.608,0.139,p
0.363,0.768,n
0.011,0.838,n
0.787,0.311,p
0.234,0.487,n
0.095,0.114,n
0.885,0.512,p
0.881,0.196,p
0.798,0.167,p
0.874,0.176,n
0.006,0.312,n
0.245,0.848,n
0.357,0.767,n
0.627,0.677,n
0.911,0.306,p
0.868,0.787,p
0.362,0.662,n
0.133,0.083,p
0.372,0.576,n
0.327,0.301,p
0.830,0.801,n
0.584,0.495,p
0.574,0.938,n
0.675,0.745,n
0.928,0.406,p
0.599,0.897,n
0.310,0.230,p
0.627,0.996,n
0.400,0.401,n
0.693,0.615,p
0.364,0.951,n
0.988,0.920,n
0.604,0.312,p
0.149,0.238,p
0.790,0.681,p
0.524,0.158,n
0.097,0.032,p
0.289,0.890,n
0.702,0.731,n
0.953,0.878,n
0.560,0.694,p
0.552,0.503,p
0.844,0.484,p
0.862,0.328,p
0.877,0.019,n
0.960,0.153,p
0.554,0.477,p
0.921,0.937,p
0.379,0.848,p
0.647,0.897,n
0.256,0.858,n
0.834,0.892,p
0.893,0.883,n
0.082,0.714,n
0.498,0.546,n
0.250,0.201,p
0.782,0.908,n
0.117,0.979,n
0.623,0.622,n
0.478,0.145,p
0.360,0.890,n
0.816,0.298,p
0.605,0.034,p
0.299,0.691,n
0.789,0.705,p
0.628,0.842,n
0.511,0.030,p
0.264,0.287,n
0.986,0.166,p
0.092,0.212,n
0.843,0.114,p
0.661,0.907,n
0.718,0.027,p
0.767,0.181,p
0.983,0.607,n
0.951,0.684,p
0.704,0.668,n
0.843,0.104,p
0.138,0.479,n
0.838,0.759,n
0.982,0.213,p
0.027,0.191,n
0.719,0.393,p
0.136,0.030,p
0.527,0.181,p
0.615,0.600,n
0.725,0.023,n
0.800,0.138,p
0.676,0.544,p
0.544,0.366,p
0.863,0.197,p
0.119,0.883,n
0.820,0.874,n
0.081,0.942,n
0.605,0.544,p
0.057,0.475,n
0.888,0.288,p
0.854,0.845,p
0.011,0.004,p
0.690,0.064,p
0.436,0.135,p
0.762,0.324,p
0.641,0.070,p
0.304,0.359,n
0.248,0.625,n
0.171,0.482,n
0.544,0.581,n
0.194,0.958,n
0.333,0.304,p
0.316,0.300,n
0.798,0.329,p
0.834,0.176,p
0.995,0.033,p
0.246,0.967,n
0.393,0.242,p
0.732,0.291,p
0.791,0.096,p
0.737,0.558,p
0.975,0.343,p
0.682,0.001,p
0.759,0.573,p
0.027,0.286,n
0.126,0.457,n
0.831,0.711,p
0.435,0.717,n
0.576,0.622,n
0.878,0.629,p
0.673,0.238,p
0.844,0.124,n
0.141,0.360,p
0.265,0.717,n
0.661,0.976,n
0.792,0.970,n
0.756,0.787,n
0.254,0.622,n
0.870,0.305,p
0.045,0.819,n
0.155,0.817,n
0.574,0.274,p
0.063,0.441,n
0.063,0.614,n
0.174,0.005,p
0.796,0.220,p
0.577,0.708,n
0.119,0.251,n
0.385,0.207,p
0.845,0.725,p
0.824,0.704,p
0.270,0.007,n
0.398,0.564,n
0.286,0.927,n
0.158,0.779,n
0.962,0.692,p
0.544,0.651,n
0.189,0.885,n
0.461,0.094,p
0.270,0.911,n
0.006,0.399,n
0.163,0.491,n
0.334,0.032,p
0.530,0.128,p
0.172,0.365,n
0.820,0.449,p
0.657,0.749,n
0.902,0.919,n
0.627,0.399,p
0.168,0.469,n
0.301,0.272,p
0.055,0.890,n
0.493,0.257,p
0.419,0.373,n
0.348,0.367,p
0.388,0.129,p
0.362,0.793,n
0.623,0.514,p
0.744,0.979,n
0.790,0.556,p
0.921,0.820,n
0.716,0.928,n
0.171,0.022,p
0.611,0.427,p
0.099,0.860,n
0.522,0.448,p
0.518,0.649,n
0.860,0.698,p
0.666,0.692,n
0.386,0.532,p
0.374,0.847,n
0.598,0.990,n
0.942,0.421,p
0.401,0.860,n
0.892,0.790,n
0.256,0.606,n
0.943,0.079,p
0.510,0.468,p
0.466,0.440,p
0.609,0.485,p
0.132,0.546,n
0.300,0.633,n
0.226,0.996,n
0.543,0.240,p
0.923,0.824,n
0.299,0.439,n
0.171,0.070,p
0.990,0.071,p
0.683,0.339,p
0.641,0.468,p
0.595,0.959,p
0.655,0.058,p
0.060,0.539,n
0.067,0.415,n
0.506,0.555,n
0.490,0.566,n
0.674,0.580,p
0.713,0.271,p
0.987,0.216,p
0.369,0.878,n
0.116,0.721,n
0.480,0.145,p
0.570,0.230,p
0.167,0.267,n
0.755,0.264,p
0.869,0.963,n
0.193,0.189,p
0.488,0.433,p
0.234,0.895,n
0.024,0.152,n
0.530,0.527,n
0.757,0.210,p
0.718,0.574,p
0.135,0.816,n
0.237,0.261,n
0.316,0.067,p
0.257,0.746,n
0.942,0.434,p
0.337,0.436,n
0.666,0.778,n
0.128,0.830,n
0.220,0.362,n
0.546,0.209,p
0.076,0.349,n
0.694,0.563,p
0.461,0.563,n
0.969,0.220,p
0.223,0.802,n
0.172,0.056,n
0.760,0.160,p
0.427,0.756,n
0.475,0.640,n
0.877,0.530,p
0.130,0.666,p
0.394,0.381,p
0.569,0.428,p
0.810,0.983,p
0.684,0.781,n
0.678,0.938,p
0.900,0.676,p
0.666,0.799,n
0.667,0.101,p
0.350,0.968,p
0.366,0.512,n
0.994,0.793,p
0.869,0.526,p
0.292,0.808,n
0.641,0.511,p
0.299,0.999,n
0.960,0.120,p
0.175,0.320,p
0.128,0.521,n
0.304,0.291,p
0.054,0.582,n
0.216,0.561,n
0.695,0.244,p
0.344,0.583,n
0.379,0.680,n
0.022,0.819,n
0.490,0.433,n
0.942,0.936,n
0.715,0.401,p
0.117,0.773,n
0.189,0.193,p
0.015,0.932,n
0.946,0.191,p
0.128,0.865,n
0.497,0.516,n
0.367,0.066,n
0.463,0.780,n
0.126,0.364,n
0.956,0.316,p
0.295,0.569,n
0.084,0.506,n
0.432,0.741,n
0.934,0.768,p
0.845,0.685,p
0.563,0.918,n
0.785,0.316,p
0.260,0.093,p
0.605,0.260,p
0.383,0.118,p
0.547,0.345,p
0.972,0.538,p
0.137,0.673,n
0.503,0.312,p
0.139,0.469,p
0.038,0.505,n
0.943,0.710,p
0.722,0.978,n
0.129,0.898,n
0.604,0.021,p
0.589,0.595,n
0.539,0.811,n
0.977,0.408,p
0.999,0.250,p
0.774,0.655,p
0.223,0.065,p
0.233,0.044,p
0.053,0.861,n
0.473,0.338,p
0.741,0.824,n
0.775,0.295,p
0.052,0.776,n
0.443,0.217,p
0.436,0.339,p
0.169,0.833,n
0.445,0.408,p
0.679,0.363,p
0.392,0.222,p
0.730,0.303,p
0.189,0.824,n
0.217,0.358,n
0.878,0.534,n
0.844,0.220,p
0.809,0.242,p
0.260,0.965,n
0.778,0.511,p
0.075,0.445,p
0.882,0.089,p
0.167,0.494,n
0.440,0.189,p
0.617,0.323,p
0.014,0.723,n
0.053,0.277,n
0.660,0.954,n
