@relation VIRTUAL
@attribute x real
@attribute y real
@attribute class {0,1,2}

@data
1.926,2.497,1
2.465,3.033,2
1.360,2.414,1
2.774,3.073,0
2.773,3.196,0
1.288,2.113,1
1.923,3.615,1
1.531,2.196,1
2.705,3.012,2
1.729,2.070,1
1.857,2.836,0
1.728,4.060,2
2.295,4.355,0
3.697,3.041,2
2.188,2.658,1
2.579,4.370,2
1.919,2.623,1
1.644,3.767,0
0.767,2.722,1
1.393,2.463,1
2.147,2.352,2
2.993,3.528,2
3.526,3.485,2
1.366,2.132,1
2.022,5.801,2
1.071,3.564,1
3.648,1.822,2
1.242,4.879,0
1.760,1.933,1
4.619,5.086,2
2.415,4.724,0
2.882,3.392,2
1.264,2.965,1
1.662,2.385,1
2.374,4.318,0
5.310,4.820,2
0.852,3.026,1
1.486,2.241,1
1.140,4.874,0
4.926,3.026,2
1.469,2.131,1
2.629,3.956,0
2.633,3.567,0
1.995,5.208,2
2.380,4.238,2
1.712,3.299,0
1.400,2.223,1
1.436,2.905,1
1.379,2.634,1
3.375,6.183,2
3.677,3.662,2
3.881,3.561,2
3.229,3.855,2
1.629,4.278,0
3.895,3.368,2
2.007,4.076,0
2.028,4.694,0
1.713,3.890,0
4.286,3.912,2
2.579,3.876,0
1.263,3.712,0
5.326,2.893,2
2.829,3.373,0
1.045,2.298,1
3.936,2.904,2
2.829,3.431,0
4.421,2.490,2
0.986,4.218,0
4.674,5.711,2
2.553,3.002,2
1.705,2.654,1
4.667,4.666,2
0.974,2.500,1
1.710,2.745,1
3.077,3.043,2
1.614,2.718,1
1.401,2.227,1
1.643,3.133,0
1.568,2.468,1
2.989,2.437,2
2.900,3.269,0
1.309,1.910,1
3.779,3.893,2
4.654,5.337,0
1.366,2.324,1
4.579,4.373,2
1.474,2.699,1
1.939,2.835,1
1.500,4.164,0
1.361,2.587,1
3.899,4.303,2
2.332,6.029,2
3.172,4.023,2
2.056,2.392,1
1.429,2.520,1
1.402,2.786,1
1.304,2.949,1
1.355,3.489,0
1.460,4.323,0
1.812,3.436,0
1.074,2.823,1
1.286,4.018,0
1.472,4.047,0
5.159,5.548,2
5.176,2.890,2
4.276,2.903,2
4.131,3.536,2
1.687,4.701,1
1.083,2.698,1
1.602,2.943,1
3.702,2.148,2
2.093,3.136,0
1.544,3.057,0
3.658,4.383,0
2.076,2.265,1
1.402,1.859,1
1.173,5.496,0
2.365,3.214,0
1.469,2.175,1
5.191,2.723,2
3.988,6.276,2
1.681,4.331,0
3.096,4.487,0
2.914,2.566,1
1.854,2.159,1
6.568,4.478,2
3.445,5.706,2
6.051,3.495,2
1.255,1.842,1
3.734,3.863,2
1.317,2.621,1
1.280,2.042,1
2.344,4.574,0
3.975,3.662,2
1.244,2.468,1
2.181,2.796,1
4.239,3.826,2
1.996,2.983,0
3.275,3.868,0
1.808,2.101,1
2.752,5.397,0
1.658,4.009,0
2.087,2.404,1
1.429,6.341,0
1.416,2.431,1
2.871,4.116,2
1.657,4.022,0
2.661,6.207,2
1.286,2.767,0
2.134,2.256,1
1.146,3.069,1
3.649,3.536,2
2.546,3.794,0
3.547,3.996,0
2.147,4.004,0
2.242,2.752,2
4.520,2.202,2
2.538,4.004,0
2.018,3.588,0
2.180,1.993,1
3.154,4.047,0
3.985,2.138,2
3.083,3.258,0
3.834,3.429,2
2.978,4.882,2
0.644,3.714,0
3.611,3.966,2
2.284,4.441,0
1.209,2.709,1
1.248,3.464,1
1.748,4.554,0
1.248,2.926,1
1.200,2.452,1
1.460,2.149,1
1.373,2.555,1
2.541,3.281,0
2.368,4.344,0
1.919,4.309,0
1.313,1.791,1
4.144,4.213,2
1.832,3.721,0
2.449,4.015,0
3.144,3.459,0
2.614,4.737,0
3.738,4.125,0
3.884,3.495,2
3.695,2.407,2
2.264,3.612,0
1.874,5.069,0
2.183,2.567,2
1.649,2.634,1
2.905,2.857,2
1.082,2.371,1
1.334,4.316,0
1.509,4.130,0
0.622,3.195,0
3.532,3.399,2
