@relation VIRTUAL
@attribute x real
@attribute y real
@attribute class {0,1,2}

@data
3.022,3.805,2
1.749,2.259,1
1.297,2.592,1
1.629,2.306,1
7.517,2.994,2
3.008,3.879,2
2.268,3.860,0
1.370,3.852,0
1.259,2.139,1
2.247,2.855,1
2.114,3.867,0
7.336,2.422,2
2.837,6.140,0
2.427,2.253,1
2.438,3.901,2
3.499,4.392,2
2.252,2.903,0
1.234,2.099,1
4.724,1.858,2
2.217,4.317,0
3.347,2.037,2
1.028,2.642,1
8.357,4.424,2
1.613,2.119,1
0.945,3.093,1
4.614,2.983,2
1.272,2.246,1
1.145,2.503,1
2.890,2.543,0
1.775,4.014,0
1.773,2.901,1
5.521,5.419,2
2.617,4.878,0
2.173,2.009,1
3.973,6.343,2
2.010,4.558,0
1.472,4.109,0
4.587,4.396,2
1.305,2.695,1
1.258,4.277,0
2.141,3.340,0
1.470,1.869,1
1.564,2.547,1
1.154,4.350,0
1.878,4.522,0
3.594,3.382,2
1.097,2.115,1
5.627,3.021,2
7.196,3.515,2
5.125,2.987,2
2.438,3.996,0
2.368,2.479,1
1.643,2.663,1
0.502,3.948,0
1.398,3.066,1
2.178,3.298,2
0.663,5.372,0
1.486,1.894,1
2.977,4.148,0
1.592,2.381,1
1.989,2.288,1
3.180,5.712,2
1.937,2.238,1
4.019,3.573,2
1.190,3.554,0
1.176,3.845,1
3.914,5.755,2
2.945,3.713,0
5.473,3.120,2
1.960,3.375,1
4.098,2.377,2
1.297,2.077,1
2.303,3.118,0
1.292,2.247,1
1.133,3.661,0
1.179,2.389,1
4.393,5.593,2
2.505,3.654,2
1.913,2.409,1
4.917,5.253,2
1.451,1.810,1
3.546,3.525,2
1.931,4.049,0
3.690,3.919,2
1.456,2.363,1
1.425,4.800,0
5.955,3.383,2
2.343,4.699,2
0.991,2.609,1
1.139,2.476,1
1.542,4.024,0
1.087,2.241,1
4.271,3.606,2
1.695,2.209,1
3.604,4.141,2
3.213,3.288,0
1.682,3.240,0
3.996,4.137,2
3.330,4.177,2
1.090,2.028,1
3.023,3.222,2
1.477,4.453,0
3.781,2.663,2
1.592,2.318,1
3.202,3.767,0
5.460,5.219,2
5.254,4.051,2
2.277,2.088,1
1.095,2.137,1
1.135,3.038,1
2.042,3.426,0
4.524,6.678,2
4.571,3.553,2
2.494,3.213,0
1.430,4.663,0
1.436,2.217,1
1.114,2.428,1
3.869,3.934,2
1.347,4.003,0
3.277,3.852,2
4.118,5.701,2
3.162,3.795,2
4.121,4.574,2
2.401,2.075,1
3.932,2.605,2
1.098,2.292,1
2.134,4.032,0
2.100,2.287,2
1.321,3.536,0
1.556,2.885,1
1.450,2.020,1
2.876,4.439,2
2.532,3.501,0
1.398,2.146,1
1.860,2.665,0
1.691,2.427,1
2.677,3.377,0
1.091,2.600,1
1.325,3.694,0
3.962,3.065,2
1.619,2.876,1
4.128,4.949,2
3.110,7.219,2
1.677,3.775,0
2.040,5.335,0
1.446,3.213,0
2.916,3.431,2
2.940,4.162,0
5.515,4.423,2
1.512,5.208,0
1.076,2.610,1
4.883,3.895,2
1.466,3.971,0
2.036,3.237,0
3.696,3.682,2
1.533,4.317,0
1.776,3.129,1
2.341,3.817,2
1.292,3.085,0
1.158,2.626,1
1.181,2.417,1
3.495,3.813,2
3.836,6.773,2
1.039,4.557,0
4.916,1.956,2
4.273,4.395,2
1.138,2.109,1
1.247,3.634,0
1.031,4.932,0
2.897,1.924,2
1.387,2.797,1
2.993,2.906,2
1.253,2.178,1
0.686,3.658,0
4.499,3.816,0
2.656,2.920,2
1.346,1.899,1
3.047,3.745,0
1.404,2.641,1
2.266,3.427,0
2.066,2.985,0
4.172,3.647,2
2.101,4.363,0
1.016,3.419,0
1.243,4.900,0
1.186,4.524,0
3.376,5.011,2
1.725,4.752,0
1.423,4.769,0
3.464,3.410,1
0.902,2.848,1
0.903,2.459,1
2.585,2.914,0
1.249,2.896,1
1.649,2.623,1
2.263,3.844,0
1.503,4.149,0
3.588,3.115,2
3.984,2.383,2
2.172,8.143,2
1.488,2.401,1
2.974,5.961,0
1.323,2.812,1
1.100,3.727,0
1.215,3.380,0
1.112,2.742,1
1.456,2.081,1
1.138,4.260,0
1.693,1.939,1
1.129,2.250,1
2.020,3.032,1
1.260,2.923,0
1.648,1.745,1
5.376,4.671,2
1.173,3.906,0
1.297,2.195,1
2.538,3.581,0
4.939,4.764,2
1.214,2.186,1
2.430,4.418,0
1.385,3.039,0
1.323,3.134,0
1.641,4.888,0
6.170,3.861,2
1.545,4.136,0
4.171,4.797,2
2.199,2.656,1
1.119,3.758,0
4.121,3.185,2
3.474,3.835,2
5.423,3.778,2
1.204,1.920,1
1.841,3.947,0
