,predictions,target
0,0.0,0
1,1.0,0
2,0.0,0
3,1.0,1
4,0.0,0
5,0.0,1
6,1.0,0
7,1.0,1
8,0.0,0
9,1.0,1
10,0.0,1
11,0.0,0
12,0.0,1
13,0.0,0
14,0.0,0
15,1.0,1
16,0.0,1
17,1.0,1
18,1.0,0
19,0.0,0
20,1.0,1
21,0.0,0
22,0.0,1
23,0.0,1
24,0.0,0
25,1.0,1
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,0
30,0.0,0
31,0.0,0
32,0.0,1
33,0.0,0
34,1.0,1
35,0.0,0
36,0.0,0
37,1.0,1
38,1.0,1
39,0.0,0
40,0.0,0
41,1.0,1
42,0.0,1
43,1.0,1
44,0.0,0
45,0.0,1
46,1.0,1
47,0.0,0
48,0.0,0
49,1.0,1
50,0.0,0
51,0.0,0
52,0.0,0
53,1.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,1
58,0.0,1
59,0.0,1
60,1.0,1
61,1.0,0
62,0.0,0
63,1.0,1
64,0.0,0
65,0.0,0
66,1.0,1
67,1.0,1
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,1
72,0.0,0
73,0.0,0
74,0.0,1
75,1.0,1
76,1.0,1
77,0.0,1
78,0.0,0
79,1.0,0
80,0.0,0
81,1.0,1
82,0.0,0
83,0.0,0
84,0.0,1
85,0.0,1
86,1.0,1
87,0.0,0
88,0.0,1
89,0.0,1
90,0.0,1
91,0.0,0
92,0.0,0
93,0.0,0
94,1.0,0
95,0.0,0
96,0.0,0
97,0.0,1
98,0.0,0
99,0.0,0
100,0.0,0
101,0.0,0
102,0.0,0
103,0.0,1
104,1.0,0
105,1.0,0
106,0.0,0
107,0.0,1
108,0.0,0
109,0.0,0
110,1.0,1
111,0.0,0
112,0.0,0
113,1.0,1
114,0.0,1
115,1.0,1
116,0.0,0
117,0.0,1
118,0.0,0
119,0.0,1
120,1.0,1
121,1.0,1
122,0.0,0
123,0.0,0
124,1.0,1
125,0.0,0
126,1.0,1
127,1.0,1
128,0.0,1
129,0.0,0
130,1.0,1
131,0.0,0
132,0.0,0
133,0.0,0
134,0.0,0
135,1.0,1
136,1.0,1
137,0.0,0
138,0.0,1
139,1.0,1
140,0.0,0
141,0.0,0
142,0.0,1
143,1.0,1
144,0.0,0
145,0.0,1
146,0.0,1
147,0.0,0
148,0.0,0
149,1.0,1
150,1.0,1
151,0.0,0
152,0.0,0
153,0.0,1
154,0.0,0
155,0.0,0
156,0.0,0
157,0.0,1
158,0.0,0
159,0.0,0
160,1.0,1
161,0.0,1
162,0.0,0
163,1.0,1
164,0.0,0
165,0.0,0
166,1.0,1
167,1.0,1
168,1.0,1
169,0.0,0
170,1.0,1
171,1.0,1
172,0.0,0
173,1.0,1
174,1.0,1
175,1.0,1
176,1.0,1
177,0.0,0
178,1.0,1
179,0.0,1
180,1.0,1
181,1.0,1
182,0.0,0
183,1.0,1
184,0.0,1
185,0.0,1
186,1.0,1
187,0.0,0
188,1.0,1
189,0.0,0
190,0.0,1
191,0.0,0
192,1.0,1
193,1.0,1
194,0.0,0
195,0.0,0
196,0.0,0
197,1.0,1
198,0.0,0
199,0.0,0
200,1.0,1
201,0.0,0
202,1.0,1
203,0.0,0
204,0.0,0
205,0.0,0
206,1.0,1
207,0.0,0
208,1.0,1
209,0.0,0
210,1.0,1
211,1.0,0
212,1.0,1
213,0.0,0
214,1.0,1
215,0.0,0
216,1.0,0
217,0.0,0
218,1.0,1
219,1.0,1
220,0.0,0
221,0.0,1
222,1.0,1
223,0.0,0
224,0.0,0
225,1.0,1
226,1.0,1
227,1.0,1
228,0.0,0
229,1.0,1
230,1.0,1
231,0.0,0
232,1.0,0
233,0.0,0
234,1.0,1
235,1.0,1
236,1.0,1
237,0.0,0
238,0.0,0
239,0.0,0
240,0.0,0
241,1.0,1
242,1.0,1
243,1.0,1
244,0.0,0
245,0.0,0
246,1.0,1
247,0.0,0
248,1.0,1
249,1.0,1
250,1.0,1
251,1.0,1
252,1.0,1
253,1.0,1
254,0.0,0
255,0.0,0
256,1.0,1
257,0.0,0
258,0.0,1
259,0.0,0
260,1.0,1
261,1.0,1
262,0.0,0
263,1.0,1
264,1.0,1
265,1.0,1
266,1.0,1
267,0.0,0
268,0.0,0
269,1.0,1
270,1.0,1
271,0.0,0
272,1.0,1
273,1.0,1
274,0.0,0
275,0.0,0
276,0.0,0
277,0.0,0
278,1.0,1
279,1.0,1
280,0.0,0
281,0.0,0
282,1.0,1
283,0.0,0
284,0.0,0
285,1.0,1
286,1.0,1
287,1.0,1
288,1.0,1
289,0.0,1
290,1.0,1
291,1.0,1
292,1.0,1
293,1.0,1
294,0.0,0
295,0.0,0
296,1.0,1
297,1.0,1
298,1.0,1
299,1.0,0
300,1.0,1
301,0.0,0
302,0.0,0
303,1.0,1
304,0.0,0
305,1.0,1
306,1.0,1
307,0.0,0
308,0.0,0
309,0.0,0
310,1.0,1
311,1.0,1
312,1.0,1
313,0.0,0
314,1.0,1
315,1.0,1
316,1.0,1
317,1.0,1
318,0.0,0
319,0.0,0
320,1.0,1
321,0.0,0
322,1.0,1
323,0.0,0
324,0.0,1
325,1.0,1
326,1.0,1
327,1.0,1
328,0.0,0
329,1.0,1
330,1.0,1
331,0.0,0
332,1.0,1
333,0.0,0
334,0.0,0
335,0.0,0
336,1.0,1
337,0.0,0
338,0.0,0
339,1.0,1
340,0.0,0
341,0.0,0
342,1.0,1
343,1.0,0
344,0.0,0
345,0.0,0
346,0.0,0
347,1.0,1
348,1.0,1
349,0.0,0
350,1.0,1
351,0.0,1
352,0.0,0
353,0.0,0
354,1.0,1
355,1.0,1
356,0.0,0
357,0.0,1
358,0.0,1
359,1.0,1
360,0.0,0
361,0.0,0
362,1.0,1
363,0.0,0
364,1.0,1
365,1.0,0
366,0.0,0
367,0.0,0
368,1.0,1
369,0.0,0
370,1.0,1
371,0.0,0
372,0.0,0
373,0.0,0
374,1.0,1
375,0.0,0
376,1.0,1
377,0.0,1
378,1.0,1
379,0.0,0
380,0.0,0
381,0.0,0
382,1.0,1
383,1.0,1
384,1.0,1
385,0.0,0
386,1.0,1
387,0.0,1
388,0.0,0
389,1.0,0
390,0.0,0
391,0.0,0
392,0.0,0
393,1.0,0
394,1.0,1
395,0.0,0
396,1.0,1
397,1.0,0
398,0.0,1
399,1.0,0
400,1.0,1
401,0.0,0
402,1.0,1
403,1.0,1
404,1.0,1
405,1.0,0
406,1.0,1
407,0.0,1
408,0.0,0
409,1.0,1
410,1.0,1
411,0.0,0
412,0.0,0
413,0.0,0
414,1.0,1
415,1.0,1
416,0.0,1
417,0.0,0
418,1.0,1
419,0.0,0
420,1.0,1
421,0.0,0
422,0.0,0
423,1.0,0
424,0.0,0
425,0.0,0
426,1.0,1
427,0.0,1
428,0.0,1
429,0.0,0
430,1.0,1
431,1.0,1
432,0.0,0
433,0.0,0
434,0.0,0
435,1.0,0
436,1.0,0
437,1.0,1
438,1.0,0
439,0.0,0
440,0.0,0
441,0.0,0
442,1.0,1
443,1.0,1
444,1.0,1
445,0.0,0
446,0.0,0
447,1.0,1
448,0.0,0
449,0.0,0
450,1.0,1
451,0.0,0
452,0.0,1
453,1.0,1
454,0.0,1
455,1.0,1
456,1.0,1
457,0.0,0
458,1.0,1
459,1.0,1
460,0.0,0
461,0.0,1
462,0.0,0
463,0.0,0
464,0.0,0
465,1.0,1
466,1.0,1
467,1.0,1
468,1.0,1
469,1.0,1
470,1.0,1
471,1.0,0
472,1.0,1
473,0.0,0
474,0.0,0
475,0.0,1
476,0.0,0
477,0.0,1
478,1.0,1
479,0.0,0
480,0.0,0
481,1.0,1
482,0.0,0
483,1.0,1
484,0.0,1
485,0.0,0
486,0.0,0
487,0.0,0
488,1.0,1
489,1.0,1
490,0.0,0
491,0.0,0
492,1.0,1
493,1.0,1
494,1.0,1
495,0.0,0
496,1.0,1
497,0.0,0
498,1.0,1
499,0.0,0
500,0.0,0
501,1.0,1
502,0.0,0
503,0.0,1
504,0.0,1
505,1.0,1
506,1.0,1
507,0.0,1
508,1.0,1
509,0.0,1
510,1.0,0
511,1.0,1
512,0.0,0
513,1.0,1
514,1.0,1
515,1.0,1
516,0.0,0
517,0.0,1
518,0.0,0
519,0.0,0
520,1.0,1
521,1.0,1
522,1.0,1
523,0.0,0
524,1.0,1
525,1.0,1
526,0.0,0
527,1.0,1
528,0.0,0
529,0.0,0
530,1.0,1
531,1.0,1
532,0.0,0
533,1.0,1
534,1.0,1
535,0.0,0
536,1.0,1
537,0.0,0
538,1.0,1
539,0.0,0
540,0.0,0
541,0.0,0
542,0.0,0
543,0.0,0
544,0.0,0
545,1.0,1
546,1.0,1
547,1.0,1
548,1.0,1
549,0.0,0
550,1.0,1
551,1.0,0
552,0.0,0
553,0.0,1
554,1.0,1
555,0.0,1
556,1.0,1
557,1.0,1
558,0.0,0
559,0.0,0
560,1.0,1
561,0.0,0
562,1.0,1
563,0.0,0
564,1.0,1
565,0.0,0
566,1.0,1
567,0.0,0
568,1.0,1
569,1.0,1
570,1.0,1
571,1.0,1
572,1.0,1
573,0.0,0
574,1.0,1
575,0.0,1
576,1.0,1
577,1.0,1
578,1.0,1
579,0.0,0
580,1.0,0
581,0.0,0
582,0.0,0
583,0.0,0
584,0.0,0
585,0.0,1
586,0.0,0
587,1.0,1
588,1.0,1
589,1.0,1
590,0.0,0
591,1.0,1
592,0.0,0
593,0.0,0
594,1.0,1
595,0.0,0
596,0.0,0
597,1.0,0
598,1.0,1
599,1.0,1
600,1.0,1
601,0.0,0
602,1.0,1
603,0.0,0
604,0.0,0
605,1.0,1
606,0.0,0
607,1.0,1
608,0.0,0
609,0.0,0
610,1.0,1
611,1.0,1
612,0.0,0
613,1.0,1
614,0.0,0
615,1.0,1
616,1.0,1
617,0.0,0
618,1.0,1
619,0.0,0
620,1.0,1
621,1.0,1
622,0.0,0
623,1.0,1
624,1.0,0
625,1.0,1
626,0.0,0
627,1.0,1
628,1.0,1
629,1.0,1
630,1.0,1
631,1.0,1
632,0.0,1
633,1.0,1
634,0.0,1
635,1.0,1
636,0.0,0
637,0.0,0
638,0.0,0
639,1.0,1
640,1.0,1
641,0.0,1
642,1.0,1
643,1.0,1
644,0.0,0
645,1.0,1
646,1.0,1
647,0.0,0
648,0.0,1
649,0.0,1
650,1.0,1
651,0.0,0
652,1.0,1
653,0.0,0
654,0.0,0
655,0.0,0
656,1.0,1
657,1.0,1
658,1.0,1
659,0.0,0
660,0.0,0
661,1.0,1
662,0.0,0
663,1.0,1
664,1.0,1
665,1.0,0
666,0.0,0
667,0.0,0
668,1.0,1
669,0.0,0
670,0.0,0
671,0.0,0
672,1.0,1
673,0.0,0
674,1.0,1
675,1.0,1
676,0.0,0
677,1.0,1
678,0.0,0
679,1.0,1
680,1.0,0
681,1.0,1
682,0.0,0
683,1.0,1
684,1.0,1
