,predictions,target
0,0.0,1
1,1.0,1
2,0.0,0
3,1.0,1
4,0.0,0
5,1.0,1
6,1.0,1
7,0.0,0
8,0.0,1
9,0.0,0
10,1.0,1
11,1.0,1
12,1.0,1
13,0.0,0
14,0.0,1
15,0.0,0
16,0.0,0
17,1.0,1
18,0.0,1
19,0.0,0
20,1.0,1
21,0.0,0
22,0.0,0
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,1.0,1
28,1.0,1
29,0.0,0
30,1.0,1
31,0.0,0
32,0.0,0
33,1.0,1
34,0.0,0
35,1.0,1
36,0.0,1
37,0.0,0
38,0.0,1
39,0.0,0
40,1.0,1
41,0.0,0
42,1.0,1
43,0.0,0
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,1
48,0.0,1
49,0.0,1
50,1.0,1
51,1.0,1
52,0.0,0
53,1.0,1
54,0.0,0
55,0.0,0
56,0.0,1
57,1.0,1
58,1.0,1
59,0.0,0
60,0.0,0
61,1.0,1
62,0.0,0
63,0.0,1
64,0.0,0
65,1.0,1
66,1.0,1
67,0.0,0
68,1.0,1
69,1.0,1
70,0.0,0
71,0.0,0
72,0.0,0
73,0.0,0
74,0.0,0
75,0.0,1
76,1.0,1
77,0.0,0
78,0.0,0
79,0.0,0
80,1.0,0
81,0.0,0
82,0.0,0
83,0.0,0
84,0.0,0
85,1.0,0
86,1.0,0
87,0.0,0
88,0.0,0
89,0.0,0
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,0.0,0
97,0.0,0
98,1.0,1
99,0.0,0
100,0.0,1
101,0.0,0
102,1.0,1
103,1.0,1
104,0.0,0
105,1.0,1
106,0.0,0
107,1.0,1
108,0.0,0
109,1.0,0
110,0.0,0
111,1.0,1
112,1.0,0
113,0.0,0
114,0.0,0
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,0.0,1
122,0.0,0
123,1.0,1
124,0.0,0
125,0.0,0
126,1.0,0
127,0.0,1
128,1.0,0
129,1.0,0
130,1.0,0
131,0.0,0
132,1.0,1
133,1.0,1
134,1.0,0
135,1.0,1
136,1.0,1
137,1.0,1
138,1.0,1
139,0.0,0
140,0.0,0
141,0.0,0
142,0.0,0
143,0.0,0
144,1.0,1
145,0.0,0
146,0.0,0
147,0.0,1
