,predictions,target
0,1.0,1
1,1.0,1
2,0.0,1
3,0.0,1
4,0.0,0
5,1.0,1
6,0.0,0
7,1.0,1
8,1.0,1
9,1.0,0
10,1.0,1
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,1.0,1
18,1.0,1
19,0.0,0
20,0.0,0
21,0.0,0
22,1.0,1
23,1.0,1
24,1.0,1
25,1.0,1
26,1.0,1
27,0.0,0
28,1.0,1
29,1.0,1
30,1.0,1
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,0.0,0
36,0.0,0
37,0.0,0
38,1.0,0
39,1.0,1
40,1.0,1
41,1.0,1
42,1.0,1
43,1.0,1
44,0.0,1
45,1.0,1
46,0.0,0
47,0.0,0
48,0.0,0
49,0.0,0
50,1.0,1
51,1.0,1
52,1.0,1
53,0.0,0
54,0.0,0
55,1.0,1
56,0.0,0
57,1.0,1
58,1.0,1
59,1.0,1
60,0.0,0
61,0.0,0
62,0.0,0
63,1.0,1
64,0.0,0
65,0.0,0
66,0.0,0
67,1.0,1
68,0.0,0
69,0.0,0
70,0.0,0
71,1.0,1
72,0.0,0
73,0.0,1
74,0.0,0
75,0.0,1
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,1.0,0
81,1.0,1
82,0.0,0
83,1.0,1
84,1.0,1
85,0.0,0
86,0.0,0
87,0.0,0
88,0.0,0
89,0.0,0
90,0.0,0
91,0.0,0
92,1.0,1
93,0.0,0
94,1.0,1
95,0.0,1
96,1.0,1
97,1.0,1
98,0.0,0
99,0.0,0
100,0.0,0
101,0.0,0
102,0.0,0
103,1.0,1
104,1.0,1
105,0.0,1
106,1.0,1
107,1.0,1
108,1.0,1
109,1.0,1
110,1.0,1
111,1.0,0
112,0.0,0
113,1.0,1
114,0.0,0
115,0.0,0
116,0.0,1
117,0.0,0
118,0.0,0
119,1.0,1
120,1.0,1
121,0.0,0
122,1.0,1
123,0.0,0
124,0.0,0
125,1.0,1
126,1.0,0
127,0.0,0
128,1.0,0
129,0.0,0
130,1.0,0
131,0.0,0
132,0.0,1
133,1.0,1
134,0.0,0
135,1.0,1
136,1.0,1
137,0.0,1
138,0.0,0
139,1.0,1
140,1.0,1
141,0.0,0
142,1.0,1
143,1.0,1
144,0.0,0
145,1.0,1
146,1.0,1
147,0.0,0
148,1.0,0
149,1.0,0
150,0.0,0
151,1.0,1
152,1.0,1
153,1.0,1
154,0.0,0
155,0.0,0
156,0.0,0
157,1.0,1
158,1.0,1
159,1.0,1
160,1.0,0
161,0.0,0
162,1.0,1
163,0.0,0
164,1.0,0
165,1.0,1
166,1.0,1
167,1.0,0
168,1.0,1
169,1.0,1
170,0.0,0
171,1.0,1
172,0.0,1
173,0.0,0
174,1.0,1
175,0.0,0
176,1.0,1
177,0.0,1
178,1.0,0
179,0.0,0
180,1.0,1
181,1.0,0
182,1.0,1
183,0.0,0
184,1.0,1
185,0.0,0
186,1.0,1
187,0.0,0
188,0.0,0
