,predictions,target
0,0.0,1
1,0.0,1
2,0.0,1
3,0.0,0
4,0.0,1
5,0.0,0
6,0.0,0
7,1.0,1
8,1.0,1
9,0.0,0
10,0.0,1
11,1.0,1
12,1.0,1
13,1.0,0
14,1.0,1
15,0.0,0
16,1.0,1
17,0.0,1
18,1.0,1
19,0.0,1
20,0.0,0
21,0.0,0
22,0.0,1
23,0.0,0
24,1.0,1
25,0.0,0
26,1.0,1
27,0.0,0
28,0.0,0
29,0.0,0
30,0.0,0
31,1.0,0
32,0.0,1
33,1.0,1
34,0.0,1
35,0.0,0
36,0.0,0
37,0.0,1
38,0.0,1
39,0.0,0
40,0.0,0
41,0.0,1
42,0.0,0
43,0.0,1
44,0.0,1
45,0.0,0
46,0.0,0
47,0.0,1
48,0.0,0
49,0.0,0
50,0.0,1
51,1.0,0
52,0.0,1
53,0.0,0
54,1.0,0
55,0.0,1
56,0.0,0
57,1.0,1
58,1.0,1
59,0.0,1
60,1.0,1
61,0.0,0
62,1.0,1
63,0.0,0
64,0.0,1
65,0.0,0
66,1.0,0
67,1.0,1
68,1.0,1
69,1.0,1
70,0.0,1
71,0.0,0
72,0.0,0
73,0.0,1
74,0.0,0
75,1.0,0
76,0.0,1
77,0.0,0
78,0.0,0
79,0.0,0
80,1.0,1
81,0.0,0
82,0.0,0
83,0.0,0
84,1.0,0
85,1.0,1
86,1.0,1
87,0.0,0
88,0.0,0
89,0.0,0
90,0.0,0
91,0.0,0
92,0.0,0
93,1.0,1
94,0.0,0
95,0.0,0
96,0.0,0
97,0.0,0
98,0.0,0
99,0.0,1
100,0.0,0
101,0.0,0
102,0.0,0
103,0.0,1
104,1.0,0
105,0.0,0
106,0.0,0
107,0.0,0
108,0.0,0
109,0.0,0
110,0.0,1
111,0.0,0
112,0.0,0
113,0.0,0
114,1.0,1
115,0.0,0
116,1.0,1
117,1.0,1
118,0.0,0
119,0.0,0
120,1.0,0
121,0.0,0
122,0.0,1
123,0.0,1
124,0.0,0
125,0.0,0
126,1.0,1
127,0.0,1
128,0.0,0
129,0.0,0
130,1.0,1
131,0.0,0
132,0.0,1
133,0.0,0
134,1.0,1
135,0.0,0
136,0.0,0
137,0.0,1
138,0.0,0
139,0.0,0
140,0.0,0
141,1.0,1
142,0.0,0
143,0.0,0
144,0.0,0
145,0.0,0
146,0.0,0
147,1.0,1
148,0.0,0
149,0.0,0
150,0.0,1
151,0.0,0
152,0.0,0
153,0.0,0
154,0.0,0
155,0.0,0
156,0.0,0
157,0.0,0
158,0.0,0
159,0.0,1
160,0.0,0
161,0.0,1
162,1.0,1
163,0.0,0
164,0.0,0
165,0.0,1
166,1.0,1
167,0.0,0
168,0.0,0
169,0.0,1
170,0.0,1
171,0.0,0
172,0.0,1
173,1.0,1
174,0.0,0
175,0.0,0
176,0.0,0
177,0.0,0
178,0.0,1
179,0.0,1
180,0.0,0
181,0.0,1
182,0.0,1
183,0.0,0
184,0.0,1
185,0.0,1
186,1.0,0
187,1.0,1
188,0.0,1
189,0.0,1
190,0.0,0
191,0.0,1
192,0.0,1
193,1.0,1
194,1.0,1
195,0.0,1
196,0.0,0
197,0.0,1
