,predictions,target
0,1.0,1
1,0.0,0
2,2.0,2
3,2.0,2
4,0.0,0
5,0.0,0
6,0.0,0
7,1.0,1
8,1.0,1
9,0.0,1
10,1.0,1
11,0.0,2
12,2.0,2
13,0.0,2
14,1.0,1
15,2.0,2
16,1.0,1
17,0.0,0
18,0.0,1
19,2.0,2
20,1.0,1
21,0.0,2
22,0.0,1
23,0.0,0
24,0.0,0
25,0.0,0
26,2.0,2
27,0.0,0
28,2.0,2
29,0.0,0
30,1.0,1
31,2.0,2
32,2.0,2
33,0.0,0
34,2.0,2
35,2.0,2
36,2.0,2
37,2.0,2
38,2.0,2
39,2.0,2
40,1.0,1
41,0.0,0
42,1.0,1
43,2.0,2
44,2.0,2
45,1.0,1
46,1.0,1
47,0.0,0
48,1.0,1
49,2.0,2
50,2.0,2
51,0.0,0
52,0.0,0
53,0.0,2
54,1.0,1
55,2.0,2
56,2.0,2
57,1.0,1
58,0.0,0
59,2.0,2
60,2.0,2
61,0.0,0
62,1.0,1
63,1.0,1
64,1.0,1
65,2.0,2
66,0.0,0
67,0.0,2
68,0.0,0
69,2.0,2
70,0.0,2
71,2.0,2
72,1.0,1
73,2.0,2
74,2.0,2
75,1.0,1
76,0.0,0
77,0.0,0
78,0.0,0
79,2.0,2
80,1.0,1
81,0.0,0
82,1.0,1
83,0.0,0
84,2.0,1
85,2.0,2
86,0.0,0
87,2.0,2
88,2.0,2
89,1.0,1
90,2.0,2
91,0.0,0
92,0.0,2
93,0.0,0
94,0.0,2
95,0.0,0
96,2.0,0
97,2.0,2
98,0.0,0
99,0.0,0
100,2.0,2
101,1.0,1
102,1.0,1
103,2.0,2
104,0.0,0
105,1.0,1
106,1.0,1
107,1.0,1
108,2.0,2
109,0.0,0
110,0.0,2
111,0.0,0
112,0.0,0
113,0.0,2
114,1.0,1
115,1.0,1
116,0.0,0
117,0.0,0
118,1.0,1
119,2.0,2
120,0.0,2
121,0.0,0
122,1.0,1
123,0.0,0
124,1.0,1
125,1.0,1
126,0.0,0
127,0.0,0
128,2.0,2
129,1.0,1
130,2.0,2
131,0.0,0
132,2.0,2
133,1.0,1
134,1.0,1
135,0.0,2
136,2.0,2
137,2.0,2
138,1.0,1
139,2.0,2
140,1.0,1
141,2.0,2
142,1.0,1
143,2.0,2
144,0.0,0
145,1.0,1
146,1.0,0
147,1.0,1
148,0.0,0
149,1.0,1
150,1.0,1
151,0.0,0
152,1.0,1
153,2.0,2
154,0.0,0
155,2.0,2
156,2.0,2
157,1.0,1
158,1.0,1
159,1.0,1
160,2.0,2
161,1.0,1
162,1.0,1
163,0.0,0
164,2.0,2
165,1.0,1
166,1.0,1
167,0.0,1
168,1.0,1
169,2.0,2
170,1.0,0
171,0.0,2
172,1.0,1
173,0.0,2
174,2.0,2
175,0.0,0
176,2.0,2
177,2.0,2
178,0.0,0
179,2.0,2
180,2.0,2
181,2.0,2
182,1.0,0
183,1.0,1
184,0.0,2
185,0.0,0
186,2.0,2
187,1.0,1
188,1.0,1
189,2.0,0
190,0.0,0
191,2.0,2
192,2.0,0
193,1.0,1
194,2.0,2
195,2.0,2
196,2.0,2
197,2.0,0
198,1.0,1
199,0.0,0
200,2.0,2
201,2.0,2
202,2.0,2
203,2.0,2
204,0.0,0
205,1.0,1
