,predictions,target
0,1.0,0
1,1.0,0
2,1.0,0
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,0
7,1.0,0
8,1.0,1
9,1.0,1
10,1.0,1
11,1.0,0
12,1.0,0
13,1.0,1
14,1.0,0
15,1.0,1
16,1.0,0
17,1.0,1
18,1.0,1
19,1.0,0
20,1.0,0
21,1.0,0
22,1.0,1
23,1.0,1
24,1.0,0
25,1.0,0
26,1.0,0
27,1.0,0
28,1.0,1
29,1.0,0
30,1.0,1
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,1.0,0
36,1.0,0
37,1.0,0
38,1.0,0
39,1.0,1
40,1.0,0
41,1.0,0
42,1.0,0
43,1.0,1
44,1.0,0
45,1.0,1
46,1.0,0
47,1.0,1
48,1.0,1
49,1.0,0
50,1.0,1
51,1.0,0
52,1.0,1
53,1.0,0
54,1.0,0
55,1.0,0
56,1.0,1
57,1.0,0
58,1.0,0
59,1.0,1
60,1.0,1
61,1.0,1
62,1.0,0
63,1.0,0
64,1.0,1
65,1.0,0
66,1.0,0
67,1.0,0
68,1.0,1
69,1.0,0
70,1.0,1
71,1.0,1
72,1.0,1
73,1.0,1
74,1.0,0
75,1.0,0
76,1.0,1
77,1.0,1
78,1.0,0
79,1.0,0
80,1.0,1
81,1.0,0
82,1.0,1
83,1.0,0
84,1.0,1
85,1.0,1
86,1.0,1
87,1.0,0
88,1.0,1
89,1.0,0
90,1.0,0
91,1.0,0
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,0
98,1.0,1
99,1.0,0
100,1.0,1
101,1.0,1
102,1.0,0
103,1.0,1
104,1.0,0
105,1.0,0
106,1.0,0
107,1.0,1
108,1.0,0
109,1.0,0
110,1.0,1
111,1.0,0
112,1.0,0
113,1.0,0
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,0
118,1.0,1
119,1.0,0
120,1.0,1
121,1.0,1
122,1.0,1
123,1.0,1
124,1.0,1
125,1.0,1
126,1.0,0
127,1.0,1
128,1.0,1
129,1.0,0
130,1.0,1
131,1.0,0
132,1.0,1
133,1.0,1
134,1.0,0
135,1.0,0
136,1.0,1
137,1.0,1
138,1.0,1
139,1.0,0
140,1.0,0
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,1.0,1
146,1.0,0
147,1.0,0
148,1.0,1
149,1.0,0
150,1.0,0
151,1.0,0
152,1.0,1
153,1.0,0
154,1.0,0
155,1.0,0
156,1.0,1
157,1.0,0
158,1.0,1
159,1.0,1
160,1.0,0
161,1.0,0
162,1.0,0
163,1.0,0
164,1.0,1
165,1.0,1
166,1.0,1
167,1.0,0
168,1.0,1
169,1.0,1
170,1.0,0
171,1.0,0
172,1.0,1
173,1.0,0
174,1.0,1
175,1.0,0
176,1.0,1
177,1.0,0
178,1.0,1
179,1.0,0
180,1.0,0
181,1.0,0
182,1.0,1
183,1.0,1
184,1.0,0
185,1.0,0
186,1.0,0
187,1.0,0
188,1.0,1
189,1.0,1
190,1.0,1
191,1.0,0
192,1.0,0
193,1.0,1
194,1.0,0
195,1.0,1
196,1.0,0
197,1.0,0
198,1.0,0
199,1.0,0
200,1.0,1
201,0.0,0
202,0.0,1
203,0.0,1
204,0.0,1
205,0.0,0
206,0.0,0
207,0.0,1
208,0.0,1
209,0.0,1
210,0.0,0
211,0.0,0
212,0.0,0
213,0.0,1
214,0.0,0
215,0.0,0
216,0.0,0
217,0.0,1
218,0.0,1
219,0.0,0
220,0.0,1
221,0.0,0
222,0.0,0
223,0.0,1
224,0.0,0
225,0.0,0
226,0.0,1
227,0.0,0
228,0.0,1
229,0.0,0
230,0.0,0
231,0.0,1
232,0.0,1
233,0.0,1
234,0.0,0
235,0.0,1
236,0.0,1
237,0.0,1
238,0.0,1
239,0.0,1
240,0.0,0
241,0.0,1
242,0.0,0
243,0.0,1
244,0.0,0
245,0.0,1
246,0.0,0
247,0.0,0
248,0.0,1
249,0.0,0
250,0.0,1
251,0.0,1
252,0.0,0
253,0.0,0
254,0.0,0
255,0.0,1
256,0.0,1
257,0.0,1
258,0.0,0
259,0.0,0
260,0.0,0
261,0.0,0
262,0.0,1
263,0.0,1
264,0.0,1
265,0.0,0
266,0.0,1
267,0.0,1
268,0.0,0
269,0.0,1
270,0.0,1
271,0.0,1
272,0.0,0
273,0.0,0
274,0.0,0
275,0.0,1
276,0.0,1
277,0.0,1
278,0.0,0
279,0.0,1
280,0.0,1
281,0.0,0
282,0.0,1
283,0.0,1
284,0.0,0
285,0.0,1
286,0.0,1
287,0.0,0
288,0.0,0
289,0.0,1
290,0.0,0
291,0.0,0
292,0.0,0
293,0.0,1
294,0.0,1
295,0.0,1
296,0.0,1
297,0.0,0
298,0.0,0
299,0.0,1
300,0.0,0
301,0.0,0
302,0.0,1
303,0.0,1
304,0.0,0
305,0.0,0
306,0.0,1
307,0.0,0
308,0.0,1
309,0.0,0
310,0.0,0
311,0.0,1
312,0.0,0
313,0.0,0
314,0.0,0
315,0.0,0
316,0.0,0
317,0.0,0
318,0.0,0
319,0.0,1
320,0.0,0
321,0.0,0
322,0.0,1
323,0.0,0
324,0.0,1
325,0.0,1
326,0.0,0
327,0.0,0
328,0.0,1
329,0.0,1
330,0.0,1
331,0.0,1
332,0.0,0
333,0.0,0
334,0.0,1
335,0.0,0
336,0.0,0
337,0.0,0
338,0.0,1
339,0.0,1
340,0.0,0
341,0.0,0
342,0.0,0
343,0.0,1
344,0.0,0
345,0.0,1
346,0.0,0
347,0.0,1
348,0.0,0
349,0.0,1
350,0.0,0
351,0.0,0
352,0.0,0
353,0.0,0
354,0.0,0
355,0.0,0
356,0.0,1
357,0.0,0
358,0.0,1
359,0.0,1
360,0.0,0
361,0.0,1
362,0.0,1
363,0.0,0
364,0.0,0
365,0.0,1
366,0.0,0
367,0.0,0
368,0.0,1
369,0.0,1
370,0.0,0
371,0.0,0
372,0.0,0
373,0.0,1
374,0.0,1
375,0.0,0
376,0.0,1
377,0.0,0
378,0.0,0
379,0.0,0
380,0.0,1
381,0.0,0
382,0.0,0
383,0.0,1
384,0.0,1
385,0.0,0
386,0.0,0
387,0.0,1
388,0.0,1
389,0.0,1
390,0.0,0
391,0.0,1
392,0.0,1
393,0.0,1
394,0.0,1
395,0.0,1
396,0.0,1
397,0.0,1
398,0.0,1
399,0.0,1
400,0.0,0
401,0.0,0
402,1.0,1
403,1.0,1
404,1.0,0
405,1.0,0
406,1.0,0
407,1.0,0
408,1.0,1
409,1.0,0
410,1.0,0
411,1.0,0
412,1.0,1
413,1.0,0
414,1.0,1
415,1.0,1
