,predictions,target
0,2.0,0
1,2.0,2
2,2.0,0
3,2.0,0
4,2.0,1
5,2.0,2
6,2.0,0
7,2.0,2
8,2.0,0
9,2.0,1
10,2.0,1
11,2.0,0
12,2.0,0
13,2.0,2
14,2.0,2
15,2.0,2
16,2.0,2
17,2.0,2
18,2.0,0
19,2.0,1
20,2.0,0
21,2.0,0
22,2.0,0
23,2.0,0
24,2.0,2
25,2.0,1
26,2.0,0
27,2.0,1
28,2.0,0
29,2.0,2
30,2.0,0
31,2.0,1
32,2.0,2
33,2.0,1
34,2.0,2
35,2.0,2
36,2.0,0
37,2.0,0
38,2.0,2
39,2.0,2
40,2.0,2
41,2.0,0
42,2.0,0
43,2.0,0
44,2.0,0
45,2.0,1
46,2.0,0
47,2.0,1
48,2.0,0
49,2.0,1
50,2.0,2
51,2.0,0
52,2.0,1
53,2.0,1
54,2.0,2
55,2.0,2
56,2.0,0
57,2.0,1
58,2.0,0
59,2.0,1
60,2.0,1
61,2.0,0
62,2.0,0
63,2.0,1
64,2.0,2
65,2.0,0
66,2.0,1
67,2.0,1
68,2.0,1
69,2.0,1
70,2.0,2
71,2.0,1
72,2.0,0
73,2.0,2
74,2.0,1
75,2.0,0
76,2.0,1
77,2.0,2
78,2.0,2
79,2.0,2
80,2.0,1
81,2.0,1
82,2.0,1
83,2.0,2
84,2.0,2
85,2.0,1
86,2.0,1
87,2.0,2
88,2.0,2
89,2.0,1
90,2.0,2
91,2.0,0
92,2.0,2
93,2.0,1
94,2.0,1
95,2.0,0
96,2.0,2
97,2.0,2
98,2.0,2
99,2.0,0
100,2.0,1
101,2.0,2
102,2.0,0
103,2.0,1
104,2.0,0
105,2.0,2
106,2.0,0
107,2.0,2
108,2.0,0
109,2.0,2
110,2.0,2
111,2.0,1
112,2.0,0
113,2.0,2
114,2.0,2
115,2.0,1
116,2.0,2
117,2.0,1
118,2.0,2
119,2.0,2
120,2.0,1
121,2.0,0
122,2.0,1
123,2.0,1
124,2.0,2
125,2.0,0
126,2.0,2
127,2.0,2
128,2.0,2
129,2.0,1
130,2.0,1
131,2.0,2
132,2.0,0
133,2.0,1
134,2.0,2
135,2.0,0
136,2.0,0
137,2.0,1
138,2.0,1
139,2.0,2
140,2.0,1
141,2.0,2
142,2.0,1
143,2.0,1
144,2.0,0
145,2.0,2
146,2.0,0
147,2.0,0
148,2.0,2
149,2.0,1
150,2.0,1
151,2.0,2
152,2.0,1
153,2.0,2
154,2.0,0
155,2.0,2
156,2.0,2
157,2.0,0
158,2.0,2
159,2.0,0
160,2.0,0
161,2.0,2
162,2.0,0
163,2.0,0
164,2.0,2
165,2.0,0
166,2.0,0
167,2.0,2
168,2.0,1
169,2.0,2
170,2.0,0
171,2.0,2
172,2.0,1
173,2.0,1
174,2.0,2
175,2.0,1
176,2.0,0
177,2.0,0
178,2.0,2
179,2.0,1
180,2.0,2
181,2.0,2
182,2.0,2
183,2.0,0
184,2.0,1
185,2.0,1
186,2.0,0
187,2.0,1
188,2.0,2
189,2.0,2
190,2.0,0
191,2.0,0
