,predictions,target
0,0.0,0
1,1.0,1
2,1.0,1
3,0.0,0
4,1.0,1
5,1.0,0
6,1.0,0
7,1.0,1
8,1.0,0
9,1.0,1
10,1.0,1
11,1.0,1
12,1.0,0
13,1.0,1
14,1.0,1
15,1.0,0
16,1.0,1
17,1.0,1
18,1.0,1
19,1.0,1
20,1.0,0
21,0.0,0
22,1.0,1
23,1.0,0
24,1.0,0
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,1.0,0
31,1.0,0
32,1.0,0
33,0.0,0
34,1.0,1
35,1.0,0
36,1.0,0
37,0.0,0
38,1.0,0
39,1.0,1
40,1.0,1
41,1.0,0
42,1.0,0
43,1.0,1
44,1.0,0
45,1.0,0
46,1.0,0
47,0.0,0
48,1.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,1.0,1
53,1.0,1
54,1.0,0
55,0.0,0
56,1.0,1
57,1.0,1
58,0.0,0
59,1.0,1
60,1.0,1
61,0.0,0
62,0.0,0
63,1.0,1
64,0.0,0
65,1.0,1
66,1.0,1
67,1.0,1
68,1.0,0
69,1.0,0
70,0.0,0
71,0.0,0
72,0.0,1
73,1.0,1
74,0.0,0
75,0.0,0
76,0.0,1
77,1.0,1
78,1.0,0
79,0.0,0
80,1.0,1
81,1.0,1
82,0.0,0
83,1.0,1
84,0.0,1
85,0.0,1
86,0.0,0
87,0.0,0
88,1.0,1
89,1.0,1
90,1.0,0
91,1.0,1
92,0.0,0
93,1.0,0
94,1.0,1
95,1.0,0
96,1.0,1
97,1.0,0
98,1.0,1
99,0.0,0
100,1.0,0
101,1.0,1
102,0.0,0
103,1.0,1
104,1.0,0
105,1.0,1
106,0.0,1
107,1.0,1
108,1.0,0
109,1.0,0
110,1.0,1
111,1.0,1
112,0.0,1
113,1.0,1
114,1.0,1
115,0.0,0
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,0
120,0.0,0
121,1.0,0
122,0.0,0
123,0.0,1
124,0.0,1
125,1.0,1
126,1.0,1
127,1.0,0
128,1.0,1
129,1.0,1
130,1.0,0
131,1.0,0
132,1.0,1
133,1.0,0
134,1.0,1
135,1.0,1
136,1.0,1
137,1.0,1
138,0.0,0
139,1.0,1
140,0.0,0
141,1.0,1
142,0.0,1
143,1.0,1
144,0.0,0
145,1.0,1
146,0.0,0
147,1.0,0
148,0.0,1
149,1.0,0
150,0.0,0
151,1.0,0
152,0.0,0
153,0.0,0
154,0.0,0
155,0.0,1
156,0.0,1
157,0.0,0
158,0.0,1
159,0.0,0
160,0.0,1
161,0.0,1
162,0.0,1
163,1.0,0
164,0.0,0
165,0.0,0
166,1.0,0
167,0.0,0
168,0.0,1
169,1.0,0
170,1.0,0
171,0.0,0
172,0.0,1
173,0.0,1
174,1.0,1
175,0.0,1
176,0.0,1
177,1.0,1
178,0.0,0
179,0.0,1
180,1.0,0
181,1.0,1
182,1.0,1
183,1.0,0
184,0.0,0
185,0.0,0
186,0.0,0
187,1.0,1
188,1.0,1
189,0.0,0
190,1.0,0
191,0.0,1
192,1.0,1
193,1.0,0
194,1.0,1
195,1.0,1
196,1.0,0
197,1.0,1
198,1.0,0
199,0.0,1
200,1.0,0
201,1.0,0
202,1.0,1
203,1.0,1
204,1.0,1
205,1.0,0
206,1.0,0
207,1.0,0
208,1.0,1
209,0.0,0
210,0.0,0
211,1.0,0
212,1.0,0
213,1.0,1
214,1.0,1
215,1.0,1
216,1.0,0
217,1.0,1
218,1.0,1
219,1.0,1
220,1.0,1
221,0.0,0
222,1.0,0
223,1.0,0
224,1.0,0
225,1.0,1
226,1.0,1
227,1.0,0
228,1.0,1
229,1.0,0
230,0.0,0
231,1.0,1
232,0.0,0
233,1.0,1
234,0.0,0
235,0.0,0
236,1.0,1
237,1.0,0
238,0.0,0
239,1.0,0
240,0.0,1
241,1.0,1
242,1.0,1
243,1.0,0
244,1.0,0
245,1.0,0
246,1.0,1
247,1.0,0
248,1.0,1
249,1.0,1
250,0.0,0
251,1.0,1
252,0.0,1
253,0.0,0
254,1.0,0
255,1.0,1
256,0.0,1
257,0.0,1
258,0.0,0
259,1.0,0
260,0.0,0
261,1.0,0
262,0.0,0
263,0.0,1
264,0.0,1
265,1.0,0
266,0.0,0
267,0.0,1
268,1.0,1
269,1.0,0
270,1.0,1
271,1.0,1
272,1.0,1
273,1.0,1
274,1.0,1
275,1.0,0
276,1.0,0
277,1.0,1
278,1.0,1
279,1.0,1
280,1.0,1
281,1.0,0
282,1.0,1
283,1.0,0
284,1.0,0
285,1.0,0
286,1.0,1
287,1.0,1
288,1.0,0
289,1.0,1
290,1.0,0
291,1.0,0
292,1.0,1
293,1.0,0
294,1.0,1
295,1.0,0
296,1.0,0
297,1.0,0
298,1.0,0
299,1.0,1
300,0.0,0
301,1.0,1
302,1.0,0
303,1.0,1
304,1.0,0
305,0.0,1
306,1.0,0
307,0.0,1
308,0.0,1
309,0.0,0
310,0.0,0
311,1.0,0
312,0.0,1
313,1.0,1
314,1.0,0
315,0.0,1
316,0.0,1
317,0.0,0
318,0.0,0
319,0.0,1
320,0.0,0
321,1.0,1
322,1.0,1
323,1.0,1
324,1.0,1
325,1.0,1
326,1.0,1
327,1.0,1
328,1.0,1
329,1.0,1
330,1.0,0
331,1.0,1
332,1.0,0
333,1.0,1
334,1.0,1
335,1.0,0
336,1.0,0
337,0.0,0
338,1.0,0
339,1.0,1
340,1.0,1
341,1.0,0
342,1.0,1
343,0.0,1
344,0.0,0
345,0.0,1
346,1.0,1
347,0.0,0
348,1.0,1
349,0.0,0
350,1.0,1
351,1.0,1
352,1.0,1
353,1.0,1
354,1.0,1
355,1.0,1
356,1.0,0
357,1.0,0
358,1.0,1
359,1.0,1
360,1.0,1
361,1.0,0
362,1.0,0
363,1.0,0
364,1.0,0
365,1.0,1
366,0.0,0
367,1.0,1
368,0.0,0
369,1.0,0
370,1.0,1
371,1.0,0
372,0.0,0
373,1.0,1
374,1.0,1
375,0.0,0
376,0.0,0
377,1.0,1
378,0.0,1
379,0.0,0
380,0.0,1
381,1.0,0
382,0.0,0
383,1.0,1
384,1.0,1
385,1.0,0
386,1.0,0
387,1.0,1
388,1.0,1
389,1.0,0
390,1.0,0
391,1.0,0
392,1.0,0
393,1.0,1
394,1.0,0
395,1.0,1
396,1.0,0
397,1.0,1
398,1.0,0
399,1.0,1
400,1.0,1
401,1.0,0
402,1.0,0
403,1.0,1
404,1.0,0
405,1.0,0
406,1.0,1
407,1.0,1
408,1.0,1
409,1.0,1
410,1.0,1
411,1.0,1
412,1.0,1
413,1.0,0
414,1.0,0
415,1.0,1
416,1.0,0
417,1.0,0
418,1.0,1
419,1.0,0
420,1.0,0
421,1.0,0
422,1.0,0
423,1.0,1
424,1.0,1
425,1.0,1
426,1.0,0
427,1.0,0
428,1.0,0
429,1.0,0
430,1.0,1
431,1.0,0
432,1.0,1
433,1.0,1
434,0.0,0
435,1.0,1
436,0.0,0
437,0.0,0
438,1.0,1
439,1.0,1
440,1.0,0
441,1.0,1
442,1.0,1
443,1.0,1
444,1.0,0
445,1.0,1
446,1.0,1
447,0.0,0
448,0.0,0
449,0.0,0
450,0.0,0
451,0.0,0
452,0.0,1
453,0.0,1
454,0.0,1
455,0.0,0
456,1.0,1
457,0.0,0
458,0.0,0
459,0.0,0
460,1.0,0
461,1.0,1
462,1.0,0
463,1.0,0
464,1.0,1
465,1.0,1
466,1.0,0
467,1.0,0
468,0.0,0
469,1.0,1
470,1.0,1
471,0.0,0
472,1.0,0
473,1.0,1
474,1.0,1
475,1.0,1
476,1.0,1
477,1.0,1
478,1.0,1
479,1.0,1
480,1.0,1
481,0.0,0
482,0.0,0
483,0.0,0
484,1.0,1
485,1.0,1
486,1.0,0
487,0.0,0
488,0.0,0
489,0.0,0
490,0.0,0
491,0.0,0
492,0.0,0
493,1.0,1
494,1.0,1
495,0.0,0
496,0.0,0
497,0.0,1
498,0.0,0
499,0.0,0
500,0.0,0
501,0.0,0
502,0.0,0
503,0.0,0
504,0.0,1
505,0.0,1
506,1.0,0
507,0.0,0
508,0.0,0
509,0.0,1
510,1.0,0
511,0.0,1
512,0.0,1
513,0.0,0
514,1.0,0
515,0.0,1
516,1.0,0
517,1.0,0
518,1.0,0
519,0.0,0
520,0.0,0
521,0.0,0
