,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,0
4,0.0,1
5,1.0,1
6,0.0,1
7,1.0,1
8,1.0,1
9,1.0,0
10,1.0,0
11,1.0,1
12,1.0,1
13,1.0,1
14,1.0,1
15,1.0,0
16,0.0,1
17,1.0,1
18,1.0,1
19,1.0,0
20,0.0,0
21,1.0,1
22,0.0,1
23,1.0,1
24,1.0,0
25,1.0,0
26,0.0,1
27,1.0,0
28,0.0,0
29,1.0,1
30,0.0,1
31,1.0,1
32,0.0,1
33,1.0,1
34,0.0,0
35,1.0,0
36,0.0,0
37,1.0,1
38,0.0,0
39,1.0,1
40,0.0,0
41,1.0,0
42,0.0,0
43,1.0,1
44,1.0,0
45,1.0,1
46,1.0,0
47,1.0,1
48,1.0,1
49,1.0,0
50,1.0,1
51,1.0,0
52,1.0,0
53,1.0,1
54,1.0,1
55,1.0,1
56,1.0,1
57,1.0,0
58,1.0,0
59,1.0,1
60,1.0,1
61,1.0,1
62,1.0,1
63,1.0,0
64,0.0,0
65,0.0,1
66,1.0,1
67,1.0,1
68,1.0,0
69,1.0,1
70,1.0,1
71,1.0,0
72,1.0,0
73,1.0,0
74,1.0,0
75,1.0,1
76,1.0,1
77,1.0,0
78,1.0,0
79,1.0,0
80,1.0,1
81,1.0,1
82,1.0,1
83,1.0,1
84,1.0,1
85,1.0,1
86,1.0,0
87,1.0,0
88,1.0,0
89,1.0,0
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,0
94,0.0,0
95,1.0,1
96,1.0,1
97,1.0,0
98,1.0,1
99,1.0,1
100,1.0,0
101,1.0,0
102,1.0,1
103,1.0,0
104,1.0,1
105,1.0,1
106,1.0,0
107,1.0,0
108,1.0,1
109,1.0,0
110,1.0,1
111,1.0,1
112,1.0,0
113,1.0,1
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,0
121,1.0,0
122,1.0,1
123,1.0,0
124,1.0,0
125,1.0,1
126,1.0,0
127,0.0,1
128,1.0,0
129,1.0,0
130,1.0,0
131,1.0,0
132,1.0,1
133,1.0,1
134,1.0,1
135,1.0,1
136,1.0,1
137,1.0,1
138,1.0,0
139,1.0,1
140,1.0,1
141,1.0,0
142,0.0,1
143,1.0,1
144,0.0,1
145,0.0,1
146,0.0,0
147,1.0,1
148,0.0,0
149,0.0,0
150,1.0,0
151,1.0,1
152,0.0,0
153,0.0,0
154,0.0,0
155,1.0,1
156,1.0,1
157,1.0,1
158,0.0,1
159,0.0,0
160,1.0,1
161,1.0,1
162,0.0,1
163,1.0,1
164,1.0,1
165,1.0,1
166,1.0,1
167,1.0,1
168,1.0,0
169,1.0,1
170,1.0,1
171,1.0,1
172,1.0,1
173,1.0,0
174,1.0,1
175,1.0,1
176,1.0,0
177,0.0,1
178,0.0,0
179,0.0,0
180,0.0,1
181,1.0,1
182,0.0,0
183,1.0,0
184,1.0,1
185,1.0,1
186,1.0,0
187,1.0,1
188,1.0,1
