,predictions,target
0,0.0,0
1,0.0,0
2,0.0,1
3,1.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,1.0,0
10,0.0,0
11,1.0,1
12,1.0,1
13,0.0,0
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,0
18,1.0,1
19,1.0,1
20,0.0,1
21,0.0,1
22,1.0,1
23,1.0,1
24,0.0,0
25,1.0,0
26,0.0,0
27,1.0,0
28,0.0,0
29,0.0,0
30,1.0,1
31,1.0,1
32,0.0,1
33,1.0,1
34,0.0,0
35,0.0,1
36,1.0,1
37,1.0,1
38,0.0,1
39,0.0,0
40,1.0,1
41,1.0,1
42,0.0,0
43,0.0,0
44,0.0,1
45,1.0,1
46,1.0,1
47,0.0,1
48,0.0,1
49,0.0,0
50,1.0,1
51,0.0,0
52,0.0,1
53,0.0,0
54,1.0,0
55,0.0,0
56,0.0,1
57,0.0,0
58,1.0,1
59,1.0,1
60,0.0,0
61,0.0,0
62,0.0,0
63,1.0,1
64,1.0,0
65,0.0,1
66,0.0,0
67,0.0,0
68,0.0,0
69,0.0,1
70,0.0,0
71,1.0,0
72,0.0,1
73,1.0,0
74,0.0,0
75,1.0,1
76,0.0,1
77,1.0,1
78,0.0,0
79,0.0,0
80,0.0,0
81,1.0,1
82,1.0,1
83,0.0,1
84,1.0,1
85,1.0,0
86,0.0,0
87,0.0,1
88,0.0,0
89,0.0,0
90,0.0,0
91,0.0,1
92,0.0,0
93,0.0,1
94,0.0,0
95,1.0,1
96,1.0,1
97,1.0,1
98,0.0,1
99,0.0,0
100,1.0,0
101,0.0,0
102,0.0,1
103,1.0,1
104,1.0,1
105,1.0,1
106,0.0,1
107,1.0,1
108,1.0,1
109,1.0,1
110,0.0,0
111,0.0,0
112,1.0,1
113,1.0,1
114,1.0,0
115,0.0,0
116,1.0,1
117,0.0,0
118,0.0,0
119,0.0,0
120,1.0,1
121,0.0,0
122,1.0,1
123,0.0,0
124,0.0,1
125,0.0,0
126,1.0,1
127,0.0,0
128,1.0,1
129,0.0,0
130,1.0,1
131,0.0,0
132,0.0,1
133,0.0,0
134,0.0,0
135,1.0,1
136,0.0,0
137,0.0,0
138,0.0,0
139,0.0,0
140,0.0,0
141,0.0,0
142,0.0,1
143,0.0,0
144,1.0,1
145,1.0,1
146,0.0,0
147,0.0,1
148,1.0,1
149,0.0,1
150,0.0,0
151,0.0,0
152,0.0,0
153,0.0,0
154,0.0,0
155,0.0,0
156,0.0,0
157,0.0,1
158,0.0,1
159,1.0,1
160,0.0,0
161,1.0,1
162,0.0,0
163,0.0,0
164,0.0,1
165,0.0,0
166,1.0,1
167,1.0,0
168,1.0,1
169,0.0,1
170,0.0,1
171,0.0,1
172,0.0,0
173,1.0,1
174,0.0,0
175,0.0,1
176,0.0,1
177,0.0,1
178,0.0,1
179,1.0,1
180,0.0,0
181,0.0,1
182,0.0,0
183,1.0,1
184,1.0,1
185,0.0,0
186,1.0,1
187,1.0,1
188,0.0,0
189,0.0,1
190,1.0,0
191,0.0,1
192,0.0,0
193,0.0,1
194,0.0,1
195,1.0,1
196,0.0,0
197,0.0,1
198,0.0,1
199,1.0,1
200,0.0,1
201,0.0,0
202,0.0,0
203,0.0,1
204,0.0,0
205,0.0,0
206,1.0,0
207,0.0,1
208,1.0,1
209,1.0,0
210,1.0,1
211,1.0,0
212,1.0,1
213,0.0,0
214,1.0,0
215,0.0,1
216,0.0,0
217,0.0,0
218,1.0,0
219,1.0,1
220,0.0,0
221,1.0,1
222,1.0,1
223,1.0,1
224,0.0,0
225,0.0,0
226,0.0,0
227,1.0,1
228,1.0,1
229,0.0,1
230,1.0,0
231,0.0,0
232,1.0,0
233,0.0,1
234,1.0,1
