,predictions,target
0,0.0,1
1,0.0,1
2,0.0,1
3,0.0,1
4,0.0,1
5,0.0,1
6,0.0,1
7,0.0,1
8,0.0,1
9,0.0,1
10,0.0,1
11,0.0,1
12,0.0,1
13,0.0,1
14,0.0,0
15,0.0,0
16,0.0,0
17,0.0,0
18,0.0,0
19,1.0,0
20,1.0,0
21,1.0,0
22,1.0,0
23,1.0,0
24,1.0,0
25,1.0,0
26,1.0,0
27,1.0,0
28,1.0,1
29,1.0,0
30,1.0,0
31,1.0,0
32,1.0,0
33,1.0,0
34,1.0,0
35,1.0,0
36,1.0,0
37,1.0,0
38,1.0,0
39,1.0,0
40,1.0,0
41,1.0,0
42,1.0,0
43,1.0,1
44,1.0,0
45,1.0,0
46,1.0,0
47,1.0,1
48,1.0,1
49,1.0,1
50,1.0,1
51,0.0,1
52,0.0,1
53,0.0,1
54,0.0,1
55,0.0,1
56,0.0,1
57,0.0,1
58,0.0,1
59,0.0,1
60,0.0,1
61,0.0,1
62,0.0,0
63,0.0,1
64,0.0,1
65,0.0,0
66,0.0,1
67,0.0,1
68,0.0,1
69,0.0,1
70,0.0,1
71,0.0,1
72,0.0,1
73,0.0,1
74,0.0,1
75,0.0,1
76,0.0,1
77,0.0,1
78,0.0,1
79,0.0,1
80,0.0,0
81,0.0,0
82,0.0,0
83,0.0,0
84,0.0,0
85,1.0,0
86,1.0,0
87,1.0,0
88,1.0,0
89,1.0,0
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,0
95,1.0,0
96,1.0,0
97,1.0,0
98,1.0,1
99,0.0,1
100,0.0,1
101,0.0,1
102,0.0,1
103,0.0,1
104,0.0,1
105,0.0,1
106,0.0,1
107,0.0,1
108,0.0,1
109,0.0,0
110,0.0,0
111,0.0,1
112,0.0,0
113,0.0,0
114,0.0,0
115,1.0,0
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,0.0,0
121,1.0,1
122,0.0,1
123,0.0,1
124,0.0,1
125,0.0,1
126,0.0,1
127,0.0,0
128,0.0,0
129,0.0,0
130,0.0,0
131,0.0,0
132,1.0,0
133,1.0,0
134,1.0,0
135,1.0,1
136,1.0,1
137,1.0,1
138,1.0,1
139,1.0,1
140,0.0,1
141,0.0,1
142,0.0,1
143,0.0,1
144,0.0,1
145,0.0,1
146,0.0,1
147,0.0,1
148,0.0,1
149,0.0,1
150,0.0,1
151,0.0,1
152,0.0,1
153,0.0,1
154,0.0,1
155,0.0,1
156,0.0,0
157,0.0,0
158,0.0,0
159,0.0,0
160,0.0,0
161,1.0,0
162,1.0,1
163,1.0,1
164,1.0,1
165,1.0,1
166,1.0,1
167,0.0,1
168,0.0,1
169,0.0,1
170,0.0,1
171,0.0,1
172,0.0,1
173,0.0,1
174,0.0,0
175,0.0,0
176,0.0,0
177,0.0,0
178,0.0,0
179,1.0,0
180,1.0,1
181,1.0,0
182,1.0,1
183,1.0,1
184,1.0,0
185,1.0,1
186,1.0,0
187,1.0,0
188,1.0,0
189,1.0,0
190,1.0,0
191,1.0,0
192,1.0,1
193,1.0,1
194,1.0,1
195,1.0,1
196,1.0,1
197,0.0,1
